,Year,Country Code,Country Name,Region,Income Group,Lending Type,MS.MIL.MPRT.KD,MS.MIL.XPND.CD,MS.MIL.XPND.GD.ZS
0,2007,AFG,Afghanistan,South Asia,Low income,IDA,41000000,219580214.3,2.566267352
1,2007,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,31000000,2032432883,3.114054493
2,2007,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,5000000,194840309.2,1.820765344
3,2007,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,929000000,8460993873,3.28052137
4,2007,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,24000000,2296448242,0.792548175
5,2007,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,1000000,280108688.3,3.042574701
6,2007,AUS,Australia,East Asia & Pacific,High income,Not classified,679000000,17186440962,1.815342245
7,2007,AUT,Austria,Europe & Central Asia,High income,Not classified,269000000,3499817967,0.900457173
8,2007,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,213000000,946599792.1,2.864194919
10,2007,BEL,Belgium,Europe & Central Asia,High income,Not classified,174000000,5163979974,1.094535301
12,2007,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,4000000,107816728.5,1.592267582
13,2007,BGD,Bangladesh,South Asia,Lower middle income,IDA,88000000,953464223.6,1.114480186
14,2007,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,48000000,990168293.6,2.229611261
15,2007,BHR,Bahrain,Middle East & North Africa,High income,Not classified,27000000,642553191.5,2.956990234
19,2007,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,2000000,221280687.8,1.686580784
20,2007,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,188000000,20485758015,1.4662921
25,2007,CAN,Canada,North America,High income,Not classified,476000000,17417139931,1.188901783
26,2007,CHE,Switzerland,Europe & Central Asia,High income,Not classified,108000000,3524746536,0.734436406
27,2007,CHL,Chile,Latin America & Caribbean ,High income,IBRD,655000000,4022478104,2.318802202
28,2007,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1639000000,62136590755,1.739812859
32,2007,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,0,168079588.2,2.260495005
33,2007,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,226000000,6775762767,3.266739663
37,2007,CYP,Cyprus,Europe & Central Asia,High income,Not classified,17000000,405176368.5,1.684599658
39,2007,DEU,Germany,Europe & Central Asia,High income,Not classified,75000000,40110859276,1.172471765
41,2007,DNK,Denmark,Europe & Central Asia,High income,Not classified,147000000,4175652589,1.307247052
43,2007,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,507000000,3945815125,2.923321027
